id,criteria,baseGameWins,freeGameWins,payoutMultiplier
1,freegame,0.0,27.69,27.69
2,freegame,0.0,20.69,20.69
3,freegame,0.0,4.12,4.12
4,freegame,0.0,1.74,1.74
5,freegame,0.0,0.27,0.27
6,freegame,0.0,0.18,0.18
7,freegame,0.0,0.03,0.03
8,freegame,0.0,215.75,215.75
9,freegame,0.0,21.59,21.59
10,freegame,0.0,169.16,169.16
11,freegame,0.0,21.54,21.54
12,freegame,0.0,177.96,177.96
13,freegame,0.0,176.4,176.4
14,freegame,0.0,69.91,69.91
15,freegame,0.0,0.83,0.83
16,freegame,0.0,150.49,150.49
17,freegame,0.0,294.76,294.76
18,freegame,0.0,179.48,179.48
19,freegame,0.0,5.6,5.6
20,freegame,0.0,140.25,140.25
21,freegame,0.0,26.52,26.52
22,freegame,0.0,16.7,16.7
23,freegame,0.0,104.25,104.25
24,freegame,0.0,52.78,52.78
25,freegame,0.0,200.82,200.82
26,freegame,0.0,0.38,0.38
27,freegame,0.0,25.64,25.64
28,freegame,0.0,46.01,46.01
29,freegame,0.0,79.86,79.86
30,freegame,0.0,23.57,23.57
31,freegame,0.0,27.53,27.53
32,freegame,0.0,285.68,285.68
33,freegame,0.0,9.53,9.53
34,freegame,0.0,9.68,9.68
35,freegame,0.0,225.7,225.7
36,freegame,0.0,62.68,62.68
37,freegame,0.0,184.3,184.3
38,freegame,0.0,6.19,6.19
39,freegame,0.0,72.0,72.0
40,freegame,0.0,5.21,5.21
41,freegame,0.0,0.5,0.5
42,freegame,0.0,1.24,1.24
43,freegame,0.0,0.7,0.7
44,freegame,0.0,197.76,197.76
45,freegame,0.0,49.36,49.36
46,freegame,0.0,19.89,19.89
47,freegame,0.0,147.65,147.65
48,freegame,0.0,63.25,63.25
49,freegame,0.0,107.07,107.07
50,freegame,0.0,348.72,348.72
51,freegame,0.0,89.2,89.2
52,freegame,0.0,78.06,78.06
53,freegame,0.0,0.75,0.75
54,freegame,0.0,2.7,2.7
55,freegame,0.0,201.84,201.84
56,freegame,0.0,34.17,34.17
57,freegame,0.0,24.78,24.78
58,freegame,0.0,1.29,1.29
59,freegame,0.0,2.52,2.52
60,freegame,0.0,47.17,47.17
61,freegame,0.0,0.0,0.0
62,freegame,0.0,66.79,66.79
63,freegame,0.0,5.89,5.89
64,freegame,0.0,69.85,69.85
65,freegame,0.0,0.63,0.63
66,freegame,0.0,11.03,11.03
67,freegame,0.0,50.66,50.66
68,freegame,0.0,140.51,140.51
69,freegame,0.0,0.41,0.41
70,freegame,0.0,52.11,52.11
71,freegame,0.0,209.8,209.8
72,freegame,0.0,172.54,172.54
73,freegame,0.0,11.72,11.72
74,freegame,0.0,120.82,120.82
75,freegame,0.0,33.67,33.67
76,freegame,0.0,44.34,44.34
77,freegame,0.0,87.14,87.14
78,freegame,0.0,1.83,1.83
79,freegame,0.0,33.01,33.01
80,freegame,0.0,304.73,304.73
81,freegame,0.0,222.83,222.83
82,freegame,0.0,231.79,231.79
83,freegame,0.0,2.99,2.99
84,freegame,0.0,169.0,169.0
85,freegame,0.0,12.78,12.78
86,freegame,0.0,288.02,288.02
87,freegame,0.0,5.12,5.12
88,freegame,0.0,33.34,33.34
89,freegame,0.0,327.45,327.45
90,freegame,0.0,2.62,2.62
91,freegame,0.0,3.55,3.55
92,freegame,0.0,105.82,105.82
93,freegame,0.0,79.64,79.64
94,freegame,0.0,4.45,4.45
95,freegame,0.0,270.09,270.09
96,freegame,0.0,118.32,118.32
97,freegame,0.0,1.84,1.84
98,freegame,0.0,230.25,230.25
99,freegame,0.0,255.68,255.68
100,freegame,0.0,0.82,0.82
101,freegame,0.0,10.19,10.19
102,freegame,0.0,71.28,71.28
103,freegame,0.0,271.36,271.36
104,freegame,0.0,0.0,0.0
105,freegame,0.0,117.58,117.58
106,freegame,0.0,0.78,0.78
107,freegame,0.0,3.73,3.73
108,freegame,0.0,94.48,94.48
109,freegame,0.0,0.06,0.06
110,freegame,0.0,9.23,9.23
111,freegame,0.0,1.2,1.2
112,freegame,0.0,0.5,0.5
113,freegame,0.0,8.28,8.28
114,freegame,0.0,26.38,26.38
115,freegame,0.0,190.59,190.59
116,freegame,0.0,99.91,99.91
117,freegame,0.0,389.07,389.07
118,freegame,0.0,16.75,16.75
119,freegame,0.0,166.97,166.97
120,freegame,0.0,161.77,161.77
121,freegame,0.0,110.81,110.81
122,freegame,0.0,0.1,0.1
123,freegame,0.0,193.4,193.4
124,freegame,0.0,121.12,121.12
125,freegame,0.0,213.34,213.34
126,freegame,0.0,0.02,0.02
127,freegame,0.0,0.18,0.18
128,freegame,0.0,2.11,2.11
129,freegame,0.0,104.77,104.77
130,freegame,0.0,169.05,169.05
131,freegame,0.0,14.25,14.25
132,freegame,0.0,18.25,18.25
133,freegame,0.0,92.95,92.95
134,freegame,0.0,147.22,147.22
135,freegame,0.0,46.57,46.57
136,freegame,0.0,350.28,350.28
137,freegame,0.0,112.58,112.58
138,freegame,0.0,108.32,108.32
139,freegame,0.0,270.29,270.29
140,freegame,0.0,37.57,37.57
141,freegame,0.0,33.59,33.59
142,freegame,0.0,0.06,0.06
143,freegame,0.0,190.32,190.32
144,freegame,0.0,109.33,109.33
145,freegame,0.0,27.46,27.46
146,freegame,0.0,433.85,433.85
147,freegame,0.0,237.04,237.04
148,freegame,0.0,77.35,77.35
149,freegame,0.0,295.02,295.02
150,freegame,0.0,292.95,292.95
151,freegame,0.0,38.47,38.47
152,freegame,0.0,5.66,5.66
153,freegame,0.0,142.33,142.33
154,freegame,0.0,134.37,134.37
155,freegame,0.0,200.01,200.01
156,freegame,0.0,133.89,133.89
157,freegame,0.0,0.0,0.0
158,freegame,0.0,157.72,157.72
159,freegame,0.0,11.14,11.14
160,freegame,0.0,151.66,151.66
161,freegame,0.0,4.69,4.69
162,freegame,0.0,238.81,238.81
163,freegame,0.0,161.48,161.48
164,freegame,0.0,0.39,0.39
165,freegame,0.0,4.95,4.95
166,freegame,0.0,0.29,0.29
167,freegame,0.0,40.36,40.36
168,freegame,0.0,331.56,331.56
169,freegame,0.0,121.15,121.15
170,freegame,0.0,0.45,0.45
171,freegame,0.0,133.72,133.72
172,freegame,0.0,239.96,239.96
173,freegame,0.0,9.45,9.45
174,freegame,0.0,0.04,0.04
175,freegame,0.0,0.58,0.58
176,freegame,0.0,0.2,0.2
177,freegame,0.0,18.37,18.37
178,freegame,0.0,30.32,30.32
179,freegame,0.0,76.4,76.4
180,freegame,0.0,82.32,82.32
181,freegame,0.0,0.32,0.32
182,freegame,0.0,5.11,5.11
183,freegame,0.0,16.95,16.95
184,freegame,0.0,63.76,63.76
185,freegame,0.0,352.95,352.95
186,freegame,0.0,0.04,0.04
187,freegame,0.0,98.36,98.36
188,freegame,0.0,16.17,16.17
189,freegame,0.0,249.42,249.42
190,freegame,0.0,123.17,123.17
191,freegame,0.0,102.7,102.7
192,freegame,0.0,63.09,63.09
193,freegame,0.0,0.33,0.33
194,freegame,0.0,1.03,1.03
195,freegame,0.0,11.7,11.7
196,freegame,0.0,230.02,230.02
197,freegame,0.0,1.64,1.64
198,freegame,0.0,60.35,60.35
199,freegame,0.0,267.93,267.93
200,freegame,0.0,65.89,65.89
201,freegame,0.0,389.22,389.22
202,freegame,0.0,77.7,77.7
203,freegame,0.0,0.74,0.74
204,freegame,0.0,0.9,0.9
205,freegame,0.0,125.82,125.82
206,freegame,0.0,150.29,150.29
207,freegame,0.0,0.12,0.12
208,freegame,0.0,95.8,95.8
209,freegame,0.0,82.23,82.23
210,freegame,0.0,131.07,131.07
211,freegame,0.0,0.42,0.42
212,freegame,0.0,147.1,147.1
213,freegame,0.0,254.85,254.85
214,freegame,0.0,1.93,1.93
215,freegame,0.0,55.94,55.94
216,freegame,0.0,52.08,52.08
217,freegame,0.0,2.69,2.69
218,freegame,0.0,160.87,160.87
219,freegame,0.0,16.75,16.75
220,freegame,0.0,10.21,10.21
221,freegame,0.0,243.27,243.27
222,freegame,0.0,33.22,33.22
223,freegame,0.0,2.28,2.28
224,freegame,0.0,310.17,310.17
225,freegame,0.0,4.25,4.25
226,freegame,0.0,1.69,1.69
227,freegame,0.0,315.22,315.22
228,freegame,0.0,25.05,25.05
229,freegame,0.0,140.63,140.63
230,freegame,0.0,70.3,70.3
231,freegame,0.0,27.42,27.42
232,freegame,0.0,114.18,114.18
233,freegame,0.0,12.77,12.77
234,freegame,0.0,50.34,50.34
235,freegame,0.0,234.54,234.54
236,freegame,0.0,200.7,200.7
237,freegame,0.0,181.22,181.22
238,freegame,0.0,119.6,119.6
239,freegame,0.0,214.51,214.51
240,freegame,0.0,5.07,5.07
241,freegame,0.0,315.29,315.29
242,freegame,0.0,0.0,0.0
243,freegame,0.0,44.38,44.38
244,freegame,0.0,0.62,0.62
245,freegame,0.0,277.7,277.7
246,freegame,0.0,13.81,13.81
247,freegame,0.0,0.55,0.55
248,freegame,0.0,69.24,69.24
249,freegame,0.0,6.91,6.91
250,freegame,0.0,232.19,232.19
251,freegame,0.0,212.61,212.61
252,freegame,0.0,238.17,238.17
253,freegame,0.0,186.23,186.23
254,freegame,0.0,46.68,46.68
255,freegame,0.0,164.18,164.18
256,freegame,0.0,28.58,28.58
257,freegame,0.0,25.63,25.63
258,freegame,0.0,40.3,40.3
259,freegame,0.0,178.67,178.67
260,freegame,0.0,1.28,1.28
261,freegame,0.0,27.27,27.27
262,freegame,0.0,37.56,37.56
263,freegame,0.0,0.01,0.01
264,freegame,0.0,235.94,235.94
265,freegame,0.0,3.83,3.83
266,freegame,0.0,197.59,197.59
267,freegame,0.0,3.32,3.32
268,freegame,0.0,43.09,43.09
269,freegame,0.0,51.77,51.77
270,freegame,0.0,511.42,511.42
271,freegame,0.0,72.52,72.52
272,freegame,0.0,23.44,23.44
273,freegame,0.0,189.7,189.7
274,freegame,0.0,45.98,45.98
275,freegame,0.0,0.01,0.01
