id,probability,payoutMultiplier
1,1000000,2.88
2,1000000,0.0
3,1000000,0.0
4,1000000,0.0
5,1000000,0.14
6,1000000,0.0
7,1000000,0.0
8,1000000,0.0
9,1000000,0.0
10,1000000,0.0
11,1000000,0.0
12,1000000,7.44
13,1000000,0.0
14,1000000,0.0
15,1000000,0.0
16,1000000,0.0
17,1000000,29.96
18,1000000,0.0
19,1000000,0.0
20,1000000,0.0
21,1000000,0.0
22,1000000,0.61
23,1000000,0.0
24,1000000,0.17
25,1000000,0.28
26,1000000,0.0
27,1000000,1.49
28,1000000,0.0
29,1000000,0.0
30,1000000,1.12
31,1000000,0.16
32,1000000,0.0
33,1000000,0.0
34,1000000,0.0
35,1000000,0.0
36,1000000,0.23
37,1000000,0.0
38,1000000,0.0
39,1000000,0.0
40,1000000,0.0
41,1000000,0.0
42,1000000,0.0
43,1000000,0.0
44,1000000,0.14
45,1000000,0.0
46,1000000,0.0
47,1000000,0.0
48,1000000,0.0
49,1000000,0.56
50,1000000,5.06
51,1000000,0.0
52,1000000,0.0
53,1000000,0.0
54,1000000,0.0
55,1000000,0.0
56,1000000,0.0
57,1000000,31.69
58,1000000,0.0
59,1000000,0.0
60,1000000,0.0
61,1000000,0.0
62,1000000,0.0
63,1000000,0.0
64,1000000,0.0
65,1000000,0.0
66,1000000,0.0
67,1000000,15.42
68,1000000,0.0
69,1000000,8.12
70,1000000,0.33
71,1000000,0.0
72,1000000,0.0
73,1000000,0.0
74,1000000,11.9
75,1000000,9.25
76,1000000,4.0
77,1000000,0.11
78,1000000,0.0
79,1000000,0.22
80,1000000,0.0
81,1000000,0.0
82,1000000,0.14
83,1000000,0.0
84,1000000,0.35
85,1000000,2.61
86,1000000,0.0
87,1000000,0.0
88,1000000,0.0
89,1000000,0.0
90,1000000,0.0
91,1000000,0.33
92,1000000,0.56
93,1000000,0.0
94,1000000,0.0
95,1000000,0.0
96,1000000,0.0
97,1000000,0.0
98,1000000,0.0
99,1000000,14.44
100,1000000,0.0
101,1000000,0.17
102,1000000,0.0
103,1000000,0.0
104,1000000,0.0
105,1000000,0.0
106,1000000,0.17
107,1000000,0.0
108,1000000,3.26
109,1000000,0.0
110,1000000,0.0
111,1000000,0.0
112,1000000,0.0
113,1000000,0.0
114,1000000,0.52
115,1000000,4.84
116,1000000,0.0
117,1000000,0.0
118,1000000,0.0
119,1000000,0.0
120,1000000,0.0
121,1000000,0.0
122,1000000,0.0
123,1000000,0.0
124,1000000,0.0
125,1000000,0.0
126,1000000,0.0
127,1000000,2.19
128,1000000,0.0
129,1000000,0.0
130,1000000,0.0
131,1000000,0.0
132,1000000,0.0
133,1000000,0.0
134,1000000,2.51
135,1000000,0.0
136,1000000,2.37
137,1000000,0.0
138,1000000,0.0
139,1000000,0.0
140,1000000,1.3
141,1000000,0.0
142,1000000,0.0
143,1000000,0.09
144,1000000,0.0
145,1000000,0.0
146,1000000,0.33
147,1000000,0.0
148,1000000,0.0
149,1000000,0.0
150,1000000,2.42
151,1000000,0.0
152,1000000,0.0
153,1000000,0.0
154,1000000,0.0
155,1000000,0.0
156,1000000,0.0
157,1000000,0.0
158,1000000,0.0
159,1000000,0.0
160,1000000,0.0
161,1000000,0.0
162,1000000,0.0
163,1000000,0.0
164,1000000,0.0
165,1000000,0.0
166,1000000,0.0
167,1000000,0.0
168,1000000,0.0
169,1000000,0.75
170,1000000,0.0
171,1000000,1.59
172,1000000,0.0
173,1000000,0.0
174,1000000,0.0
175,1000000,0.0
176,1000000,0.0
177,1000000,0.6
178,1000000,0.0
179,1000000,2.23
180,1000000,0.0
181,1000000,0.0
182,1000000,0.0
183,1000000,0.0
184,1000000,0.0
185,1000000,0.0
186,1000000,0.0
187,1000000,0.0
188,1000000,0.0
189,1000000,0.0
190,1000000,0.0
191,1000000,0.71
192,1000000,0.0
193,1000000,0.71
194,1000000,0.0
195,1000000,0.0
196,1000000,0.0
197,1000000,0.28
198,1000000,0.0
199,1000000,0.0
200,1000000,1.85
201,1000000,0.0
202,1000000,0.0
203,1000000,0.22
204,1000000,0.0
205,1000000,0.0
206,1000000,0.0
207,1000000,0.33
208,1000000,0.0
209,1000000,3.3
210,1000000,13.39
211,1000000,0.0
212,1000000,0.0
213,1000000,0.0
214,1000000,13.39
215,1000000,0.0
216,1000000,0.0
217,1000000,0.0
218,1000000,0.0
219,1000000,0.0
220,1000000,0.0
221,1000000,0.0
222,1000000,3.18
223,1000000,0.0
224,1000000,0.0
225,1000000,0.0
226,1000000,0.0
227,1000000,0.45
